"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"MO_RF_MN004","427","201906","56","4","3"
"MO_RF_MN004","427","201907","61.73","4","3"
"MO_RF_MN004","427","201908","61.79","4","3"
"MO_RF_MN004","427","201909","70.17","4","3"
"MO_RF_MN004","427","201910","82.68","4","3"
"MO_RF_MN004","427","201911","89.14","4","1"
"MO_RF_MN004","427","201912","85.05","4","1"
"MO_RF_MN004","427","202001","84.65","4","1"
"MO_RF_MN004","430","201001","85.13","4","10"
"MO_RF_MN004","430","201002","81.57","4","10"
"MO_RF_MN004","430","201003","74","4","10"
"MO_RF_MN004","430","201004","61.43","4","10"
"MO_RF_MN004","430","201005","77.39","4","10"
"MO_RF_MN004","430","201006","62.27","4","10"
"MO_RF_MN004","430","201007","55.35","4","10"
"MO_RF_MN004","430","201008","75.77","4","10"
"MO_RF_MN004","430","201009","80.6","4","10"
"MO_RF_MN004","430","201010","79.39","4","10"
"MO_RF_MN004","430","201011","86.6","4","10"
"MO_RF_MN004","430","201012","88.87","4","10"
"MO_RF_MN004","430","201101","87.26","4","10"
"MO_RF_MN004","430","201102","71.36","4","10"
"MO_RF_MN004","430","201103","68.1","4","10"
"MO_RF_MN004","430","201104","61.47","4","10"
"MO_RF_MN004","430","201105","56.61","4","10"
"MO_RF_MN004","430","201106","63.43","4","10"
"MO_RF_MN004","430","201107","73.13","4","10"
"MO_RF_MN004","430","201108","73.16","4","10"
"MO_RF_MN004","430","201109","74.5","4","10"
"MO_RF_MN004","430","201110","80.13","4","10"
"MO_RF_MN004","430","201111","84.6","4","10"
"MO_RF_MN004","430","201112","82.71","4","10"
"MO_RF_MN004","430","201201","81.65","4","10"
"MO_RF_MN004","430","201202","77.72","4","10"
"MO_RF_MN004","430","201203","68.35","4","10"
"MO_RF_MN004","430","201204","61.17","4","10"
"MO_RF_MN004","430","201205","59.29","4","10"
"MO_RF_MN004","430","201206","69.23","4","10"
"MO_RF_MN004","430","201207","72.87","4","10"
"MO_RF_MN004","430","201208","71.19","4","10"
"MO_RF_MN004","430","201209","72.6","4","10"
"MO_RF_MN004","430","201210","80.61","4","10"
"MO_RF_MN004","430","201211","87.07","4","10"
"MO_RF_MN004","430","201212","87.61","4","10"
"MO_RF_MN004","430","201301","86.61","4","10"
"MO_RF_MN004","430","201302","85.21","4","10"
"MO_RF_MN004","430","201303","72.55","4","10"
"MO_RF_MN004","430","201304","64.73","4","10"
"MO_RF_MN004","430","201305","69.13","4","7"
"MO_RF_MN004","430","201306","65.33","4","3"
"MO_RF_MN004","430","201307","62.02","4","3"
"MO_RF_MN004","430","201308","65.74","4","3"
"MO_RF_MN004","430","201309","79.8","4","3"
"MO_RF_MN004","430","201310","78.56","4","3"
"MO_RF_MN004","430","201311","86.49","4","3"
"MO_RF_MN004","430","201312","84.32","4","3"
"MO_RF_MN004","430","201401","84.43","4","3"
"MO_RF_MN004","430","201402","72.25","4","3"
"MO_RF_MN004","430","201403","70.28","4","3"
"MO_RF_MN004","430","201404","66.53","4","3"
"MO_RF_MN004","430","201405","67.01","4","3"
"MO_RF_MN004","430","201406","62.98","4","3"
"MO_RF_MN004","430","201407","64.1","4","3"
"MO_RF_MN004","430","201408","65.24","4","3"
"MO_RF_MN004","430","201409","74.51","4","3"
"MO_RF_MN004","430","201410","81.07","4","3"
"MO_RF_MN004","430","201411","86.97","4","3"
"MO_RF_MN004","430","201412","88.53","4","3"
"MO_RF_MN004","430","201501","87.33","4","3"
"MO_RF_MN004","430","201502","82.19","4","3"
"MO_RF_MN004","430","201503","72.84","4","3"
"MO_RF_MN004","430","201504","63.95","4","3"
"MO_RF_MN004","430","201505","62.25","4","3"
"MO_RF_MN004","430","201506","61.6","4","3"
"MO_RF_MN004","430","201507","61.36","4","3"
